 Fred Darian 
 Franco Luambo Makiadi 
 Frank Baley 
 Frank Bell 
 Frank Berardi 
 Frank Black 
 France Gall 
 Foolhardy 
 Foreign Islands 
 Flunk 
 Flux Pavilion 
 Flying Machine 
 Foals 
 Folk Songs for the Afterlife 
 Folkloras Draugu Kopa Skandinieki 
 Fonseca 
 Forro Rasta Chinela 
 Fort Lean 
 Flip Flop 
 Florraine Darlin 
 Floyd Flowers 
 Francesc Sadurni 
 Francesca 
 Francine Jordi 
 Francis Purcell 
 Francisco Buencamino 
 Fred Martin 
 Fred Nelson III 
 Fortuna 
 Fountains of Wayne 
 Four Dreamers 
 Four Shadows Fall 
 Foxx 
 Fraglen 
 Frankie Paul 
 Franz Sanger 
 Freda Payne 
 Fredro Starr 
 Frank Hernandez 
 Frank Ifield 
 Frank J. Stola 
 Frank L. Battisti 
 Frank Miller 
 Frank Nitty 
 Frank Peters 
 Frank Stagnitta 
 Frank Valdor 
 Gin Blossoms 
 Gina Kreiezmar 
 Gina Vera 
 Ginger 
 Ginger Sling 
 Ginny Owens 
 Gerry & The Pacemakers 
 Gabe Lopez 
 Gabriel Vivas 
 Gabriella Cilmi 
 Gabrielle 
 Gabrielle Epstein 
 Fruit of the Spirit 
 Frutty Villareal 
 FSM 
 F.Soe Paing 
 Fuckmouth 
 From Zero 
 Front Porch String Band 
 Frozen Few 
 Fuego 
 Fuel 
 藤本美貴 
 Fulano de Tal 
 Freedom Call 
 Frei.Wild 
 French Kicks 
 Frenchie 
 Fresca 
 Full Force 
 Fullmania 
 Gai Barone 
 Gaither Homecoming Kids 
 Gaitree Audho 
 Gal Costa 
 Galen Young 
 Galja Vranesevic 
 Gallant Sons of Erin 
 Game Theory 
 Funkadelic 
 Further Seems Forever 
 Future Prophet 
 gamin 
 Gang Bang City 
 Gesaffelstein 
 Geoffroy 
 George Balderose 
 George Benson 
 George Bussey 
 George Canyon 
 George Carlin 
 George Clinton 
 Gary Gentry 
 Gary Goodnight 
 Gary Moore 
 Gary Puckett 
 Gary Stewart 
 Gaudino 
 Gangsta Rap 
 Ganxsta Nip 
 Gareth Emery 
 Gareth Gates 
 Gary Brockhoff 
 Gavin Rossdale 
 G.C. and Soul Mafia 
 GD & TOP 
 Geno Young 
 Gentleman 
 Gentlemen Hall 
 Geoff Johns 
 George Fontenette 
 Gecko 
 Gecko Turner 
 Geeta Dutt 
 Gemma Hayes 
 Genaro Diaz El Alguacil 
 O.T. Genasis 
 Gene Connors 
 Gene Harris 
 Gene Pitney 
 Gene Smith 
 Geto Boys 
 Gez Varley 
 GG Allin 
 Ghazi Abdel Baki 
 Georgie Fame 
 Gerald Alston 
 Gerard Bentall 
 Gerardito Fernandez 
 Gerardo Mejia 
 Ginx 
 George Lewis 
 George Morgan 
 George Shuffler 
 George Thorogood 
 Gigi D'Alessio 
 Gigliola Cinquetti 
 Gil Prather 
 Gil Semedo 
 Gilberto Santa Rosa 
 Gilberto Valenzuela 
 Gilda Buttà 
 Gilles Coronado 
 Gillian Tennant 
 Gillie Da Kid 
 Girlicious 
 Girls Aloud 
 Girl's Day 
 Girlschool 
 Gisele MacKenzie 
 Git Fresh 
 Giulia 
 Giuseppe Verdi 
 GIVERS 
 Gizmachi 
 G.L. Williams & The Perfect... 
 Ghetto Azz Niggaz 
 Ghost Machinery 
 Ghostface Killah 
 Ghymes 
 GI 
 Giacomo Puccini 
 Gian Wiegner 
 Gianna D'Angelo 
 Giannis Floriniotis 
 Grupo N-Sexso 
 Grupo Niche 
 Grupo Tentacion 
 Greg Thuman 
 Greg Vail 
 Gregory Charles Royal 
 Gregory Dean 
 Graham Coxon 
 Gram Parsons 
 Grand Folk Railroad 
 Gordon Mote 
 Gloria Loring 
 All and Gloria Glover 
 Glyn Poole 
 Go West 
 Godzila 
 Godzilla: The Album 
 Golden Gate Quartet 
 Samantha Glass 
 Glen Curtin 
 Glen Hansard and Marketa Irglova 
 Glen Spreen 
 Glen Washington 
 Glenn Danzig 
 Glenn Gould 
 Glenn Hughes 
 Glenn Miller 
 Gospel Music Workshop of America 
 Gotthard 
 Government Alpha 
 Gov't Mule 
 Grandmaster Melle Mel 
 Gregory Whitehead 
 Grenadine 
 Gomez 
 Gonda Traditional Entertainers 
 Good Riddance 
 Goodfellaz 
 Google Monsta 
 Göran Edman 
 Gordon MacRae 
 Grethe Kausland 
 Gridlock 
 Greg Holden 
 Greg Lake 
 Greg Logan 
 Greg Rzab 
 Greg & Steve 
 Guana Batz 
 Grant Kuneman 
 Grant Taylor 
 Grazzia Giu 
 Great Lake Swimmers 
 Grupo Capataz 
 Grupo Chakaly 
 Grupo Laberinto 
 Grupo Ladron 
 Grupo Límite 
 Grupo Mattizz 
 Grupo Miel 
 Guided by Voices 
 Guitars Unlimited 
 Gumbi Ortiz and Latino Projekt 
 Gündüz Dagdelen Ast 
 Gro Myhren Værnes 
 Dave Grohl 
 Groove Armada 
 Groovehound 
 Groovemaster K. 
